             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurrences	# Books	Letterpairs
0.03693751600883446	0.03736017198637572	0.00278906009451187	0.03016660322100097	0.04485004541633794	120	120	E 	E Space
0.03015896818164591	0.02972342668808079	0.00371777087020912	0.01242381490069077	0.03891436693753855	120	120	 T	Space T
0.02581141142048706	0.02557664108610504	0.00363082587491626	0.00872089513920355	0.03358388954230334	120	120	TH	TH
0.02330887528184666	0.02319676604250818	0.00361987093947545	0.00751368374119641	0.03521592007734450	120	120	HE	HE
0.02293138509274540	0.02269839109477393	0.00289021846153475	0.01247693220220308	0.03021795917820772	120	120	S 	S Space
0.02106504581329946	0.02093313004412563	0.00208678740768175	0.01346464894526917	0.02795214727141376	120	120	 A	Space A
0.01953506608611705	0.01999359881651582	0.00396411189760563	0.01017679208520015	0.03102642603931679	120	120	D 	D Space
0.01654304553311913	0.01715378238563723	0.00355230718316178	0.01120538934601607	0.02818983878152220	120	120	T 	T Space
0.01491526705165808	0.01524304578323097	0.00181452677326519	0.01115104390346813	0.02302327944650978	120	120	N 	N Space
0.01483692666523967	0.01512397654711064	0.00163421314817012	0.01189217922329977	0.02206424077163447	120	120	IN	IN
0.01358971624134557	0.01313734559989353	0.00222025123195857	0.00862681968119778	0.01785359271776788	120	120	 O	Space O
0.01342365607495290	0.01348050970248036	0.00167868785712553	0.00806185270182154	0.01807130545223623	120	120	AN	AN
0.01293245330305111	0.01301927871316871	0.00132722867337342	0.01038097401373498	0.01718048161229876	120	120	ER	ER
0.01261188207613817	0.01282528177704669	0.00211184927525548	0.00863658269776550	0.01890512469495863	120	120	 S	Space S
0.01255169028393539	0.01278120666125814	0.00258589293128057	0.00750322124241368	0.02008694800449055	120	120	 I	Space I
0.01184652926919488	0.01166461071550411	0.00254899497825832	0.00473870714097734	0.01732153485081582	120	120	 W	Space W
0.01152737752161383	0.01135860049521804	0.00115282206550229	0.00711951578309059	0.01364843423107675	120	120	RE	RE
0.01073310781622793	0.01067383176608259	0.00152070250109838	0.00494974044560367	0.01745417036138909	120	120	Y 	Y Space
0.01043702100274966	0.01067012452605006	0.00166299086483095	0.00707373708180939	0.01637854792018056	120	120	R 	R Space
0.00999887737155260	0.01007634277451240	0.00158740653238390	0.00578093298125684	0.01550235258447407	120	120	ND	ND
0.00983238748845189	0.01006508182843555	0.00426742883787028	0.00175082777951849	0.02218622219142006	120	120	 H	Space H
0.00933709958531162	0.00940471692371910	0.00177312146874926	0.00600240676213168	0.01540576955750394	120	120	ON	ON
0.00852696840367424	0.00857526371200006	0.00119633875842926	0.00568013413838949	0.01220519724914514	120	120	EN	EN
0.00851168261360133	0.00869761778294311	0.00105664392465395	0.00579811247421345	0.01165178758539754	120	120	 B	Space B
0.00850404628008488	0.00843447046780571	0.00103807528064193	0.00535249927766541	0.01115865735557929	120	120	AT	AT
0.00798039221462512	0.00781965624068285	0.00166396099913920	0.00377457299387689	0.01224944320712695	120	120	ES	ES
0.00795373708000243	0.00810391030317901	0.00189179238340741	0.00430572065289212	0.01264385048349406	120	120	F 	F Space
0.00792067473877575	0.00787195258543266	0.00170360342456513	0.00361659957908502	0.01312643897989658	120	120	O 	O Space
0.00776436258481256	0.00821775468582394	0.00175693614369342	0.00585821344259000	0.01704180090186740	120	120	 C	Space C
0.00765175448212631	0.00764328350058194	0.00182779308618192	0.00263927262388202	0.01224847614982920	120	120	ED	ED
0.00741213604284144	0.00742981782474104	0.00122628815319675	0.00453756392469118	0.01202504464184806	120	120	OR	OR
0.00734216430610643	0.00737183310387901	0.00217846874522492	0.00329318401546890	0.01256726059140433	120	120	OF	OF
0.00720433788558643	0.00746252967064836	0.00110913565546310	0.00502180640257696	0.01165597017793321	120	120	 F	Space F
0.00712672422740280	0.00709064498615979	0.00123170920251906	0.00428957298641412	0.01056374001348563	120	120	AR	AR
0.00711979168120302	0.00713154319766558	0.00146732801204428	0.00372763454223418	0.01236578939913312	120	120	IS	IS
0.00697136753998332	0.00711238976589429	0.00111970657464845	0.00473559817070827	0.01136238535994648	120	120	IT	IT
0.00695882436802441	0.00732374845720092	0.00244468456469159	0.00367094179066156	0.01686183348879019	120	120	OU	OU
0.00690653651019514	0.00692368292358873	0.00101886244295355	0.00411015401293850	0.00942094545726280	120	120	TO	TO
0.00675906426091411	0.00684040963763559	0.00194286622596566	0.00293149151125890	0.01211545851133564	120	120	HA	HA
0.00671835009820844	0.00737582513179094	0.00179127936865305	0.00492199200229232	0.01283807335621112	120	120	 M	Space M
0.00668366564859577	0.00672055038559752	0.00108255701788881	0.00432325497263948	0.01018888589985012	120	120	NG	NG
0.00659428141792530	0.00680718767100828	0.00131398281782560	0.00444913993214690	0.01278506524850322	120	120	ST	ST
0.00658280382506844	0.00656765816751294	0.00130967902044263	0.00406260070899130	0.01116935373277124	120	120	TE	TE
0.00633627171693707	0.00632356878442344	0.00139641266580138	0.00360592229170437	0.00999784036485130	120	120	 P	Space P
0.00614366215569383	0.00606430908849563	0.00105868319358108	0.00397027401480369	0.00961309219713225	120	120	AS	AS
0.00609256177248872	0.00609660318573659	0.00162004929950379	0.00242488529479700	0.01104546399611893	120	120	HI	HI
0.00574143255508247	0.00588213107504986	0.00094064289628252	0.00440571507712809	0.01062480490898387	120	120	SE	SE
0.00543866436521636	0.00556260952281307	0.00090037957574993	0.00394021542163784	0.01082676331857021	120	120	LE	LE
0.00539335158971402	0.00548970033987777	0.00086685077417785	0.00371115329046149	0.00989041912202874	120	120	 D	Space D
0.00536202683048637	0.00550842718979294	0.00102401826055265	0.00337545112753630	0.00970141985424580	120	120	H 	H Space
0.00535960820801791	0.00547310794718951	0.00103162631777435	0.00285707967537206	0.00879149040337202	120	120	NT	NT
0.00532444741093034	0.00554702433814741	0.00118893269418198	0.00320862760690808	0.00957976249951962	120	120	G 	G Space
0.00531457015606872	0.00535494792297951	0.00067900156441802	0.00317562475124273	0.00736724705153613	120	120	VE	VE
0.00528575899843505	0.00549039327813863	0.00138110058288083	0.00355090195185796	0.01120168163516893	120	120	AL	AL
0.00527269246063891	0.00574175498841613	0.00221510564319806	0.00234450531743474	0.01296392149735071	120	120	TI	TI
0.00504924040452841	0.00515238638326204	0.00101425609513466	0.00295407867755368	0.00881891156763451	120	120	EA	EA
0.00500004317826579	0.00500996933547236	0.00124276983148769	0.00247882376271282	0.01023953455782510	120	120	A 	A Space
0.00492620418697175	0.00514870309389357	0.00108428371609153	0.00344733738546675	0.00857068004042067	120	120	L 	L Space
0.00492169049605531	0.00506671460009986	0.00094575424868891	0.00220903856713148	0.00874000738379934	120	120	ME	ME
0.00470721723944265	0.00475163616630493	0.00071764906001220	0.00296042380803989	0.00699216841725733	120	120	NE	NE
0.00460712095959378	0.00471594353680909	0.00104991476595816	0.00230503714971041	0.00862553823174161	120	120	 L	Space L
0.00455177259466312	0.00461736971676120	0.00087515673469721	0.00282511640209227	0.00744258392939208	120	120	LL	LL
0.00444304354959887	0.00455855657004309	0.00105305515462589	0.00258169156597822	0.01036523918805626	120	120	RO	RO
0.00428712431153606	0.00435541484495190	0.00078288541726174	0.00207329508933534	0.00625524222585116	120	120	DE	DE
